"sig","gene","mut_rate","p.values","fdr"
"Hyper.MS1","ABCA2",0.0147741663149008,4.44882048939129e-05,0.02850359287553
"Hyper.MS1","ASXL3",0.0282819755170958,4.12921602205057e-06,0.0052911774106556
"Hyper.MS1","BRAF",0.132545377796539,3.37541389217168e-62,2.16262768071439e-58
"Hyper.MS1","C2orf81",0.00422119037568594,9.55618384906386e-05,0.0470972845545786
"Hyper.MS1","C5orf42",0.0181511186154496,0.000628639792198328,0.095897503538445
"Hyper.MS1","C7orf31",0.00464330941325454,0.000389385785510501,0.0825310993297716
"Hyper.MS1","CACNA1H",0.0211059518784297,0.000607520004613085,0.095897503538445
"Hyper.MS1","CES3",0.00633178556352891,0.000602217458617118,0.095897503538445
"Hyper.MS1","CHST15",0.00928661882650908,3.92088671229193e-05,0.0279123568507271
"Hyper.MS1","DIP2B",0.0109750949767835,0.000294240210855023,0.0728887738321464
"Hyper.MS1","FBRSL1",0.00422119037568594,0.000303801461339794,0.0728887738321464
"Hyper.MS1","FOXA1",0.00886449978894048,0.000624041485476617,0.095897503538445
"Hyper.MS1","GPRC5B",0.00422119037568594,0.000548442045523531,0.0949694104234936
"Hyper.MS1","KRAS",0.0679611650485437,3.51546102595576e-15,1.12617793966493e-11
"Hyper.MS1","LOXL4",0.00844238075137189,0.000256488574638386,0.0728887738321464
"Hyper.MS1","LRP1B",0.0810468552131701,0.00031853998240988,0.0728887738321464
"Hyper.MS1","MON1B",0.0071760236386661,0.000510316566669037,0.0928583103692909
"Hyper.MS1","MZF1",0.00633178556352891,0.000408747038935923,0.0825310993297716
"Hyper.MS1","OLFM1",0.0071760236386661,0.000173722224678742,0.0593426358032826
"Hyper.MS1","PIK3CA",0.103841283241874,7.3358250944896e-07,0.00156668771267983
"Hyper.MS1","PIP5K1C",0.00844238075137189,0.00016328803854136,0.0593426358032826
"Hyper.MS1","PLK1",0.00506542845082313,0.000434300685717065,0.0827543122840254
"Hyper.MS1","POLD1",0.0122414520894892,8.27463232447616e-05,0.0441796410857657
"Hyper.MS1","PRAM1",0.00464330941325454,0.000439151961550939,0.0827543122840254
"Hyper.MS1","PRR12",0.0143520472773322,0.000330344724582481,0.0729834017379295
"Hyper.MS1","RADIL",0.00970873786407767,0.000628299224148574,0.095897503538445
"Hyper.MS1","SALL2",0.00886449978894048,0.000110759157947668,0.0506881374979077
"Hyper.MS1","SETD1B",0.0071760236386661,2.58407661383215e-06,0.00413904471620564
"Hyper.MS1","SI",0.0299704516673702,5.0860265242873e-05,0.0296237926737352
"Hyper.MS1","SLC3A2",0.00590966652596032,0.000181781762928857,0.0593426358032826
"Hyper.MS1","SPOP",0.0173068805403124,1.37459995068692e-05,0.0146784364734185
"Hyper.MS1","STAB1",0.0139299282397636,0.000262099401840539,0.0728887738321464
"Hyper.MS1","TJP3",0.0071760236386661,0.000310456903707611,0.0728887738321464
"Hyper.MS1","TP53",0.169269734065006,0.000132414273507772,0.0565585500242863
"Hyper.MS1","TRIM3",0.00928661882650908,0.00041220464781531,0.0825310993297716
"Hyper.MS1","TTC28",0.00802026171380329,3.06689065219367e-05,0.0245619605107561
"Hyper.MS1","UNC80",0.0253271422541157,0.000521757323754405,0.0928583103692909
"Hyper.MS1","VSTM2B",0.0071760236386661,0.000146998829240057,0.0588638436838154
"Hyper.MS1","WDFY4",0.0147741663149008,0.000269815639943266,0.0728887738321464
"Hyper.MS1","WDR87",0.015618404390038,1.89289083460119e-05,0.0173253593961283
"Hyper.MS1","XYLT1",0.0143520472773322,0.000279112199603717,0.0728887738321464
"Hyper.MS1","ZNF716",0.013507809202195,0.000185243127214867,0.0593426358032826
"Hyper.MS2","A2M",0.0122414520894892,0.0024127704589657,0.00935751835992328
"Hyper.MS2","A2ML1",0.0143520472773322,9.60380910415066e-08,7.59649443583868e-06
"Hyper.MS2","A4GNT",0.00548754748839173,0.00123020059588161,0.00588640419552909
"Hyper.MS2","AADACL4",0.00506542845082313,0.00776889307601605,0.0216414338861021
"Hyper.MS2","AASDH",0.0101308569016463,0.000990436657219627,0.00507718510570591
"Hyper.MS2","ABCA1",0.0173068805403124,0.00315819382746578,0.0113677235126816
"Hyper.MS2","ABCA10",0.013507809202195,0.000894965153844103,0.00472326337782469
"Hyper.MS2","ABCA12",0.0244829041789785,0.00857873777841159,0.0231622304872663
"Hyper.MS2","ABCA13",0.0493879273955255,1.38821119137747e-06,5.55891818947217e-05
"Hyper.MS2","ABCA2",0.0147741663149008,3.28056358023373e-07,1.97297507922202e-05
"Hyper.MS2","ABCA3",0.0139299282397636,0.000174437608741253,0.00155108807334202
"Hyper.MS2","ABCA4",0.0164626424651752,0.00371471875189245,0.0127137836770165
"Hyper.MS2","ABCA5",0.011397214014352,0.00829818749175408,0.0226722760169161
"Hyper.MS2","ABCA6",0.0130856901646264,0.00361827918184444,0.0124916855415629
"Hyper.MS2","ABCA7",0.015618404390038,0.0201017559725818,0.0423797138915207
"Hyper.MS2","ABCA8",0.0122414520894892,0.000402479110683784,0.00270302270665724
"Hyper.MS2","ABCA9",0.0147741663149008,9.23671482174906e-05,0.00105196036723364
"Hyper.MS2","ABCB1",0.0185732376530182,1.20537476779045e-05,0.000268852597071749
"Hyper.MS2","ABCB11",0.0143520472773322,0.00876705250538913,0.0235515745920454
"Hyper.MS2","ABCB5",0.0168847615027438,0.0210052949992284,0.0437230484404522
"Hyper.MS2","ABCB8",0.00928661882650908,0.0603246032566195,0.0959770879228114
